,Postal code,Antal boliger
0,1051,3
1,1052,1
2,1053,1
3,1054,1
4,1057,2
5,1068,1
6,1107,2
7,1112,1
8,1123,4
9,1124,1
10,1129,1
11,1130,1
12,1154,2
13,1157,1
14,1159,2
15,1161,3
16,1202,1
17,1203,1
18,1205,1
19,1208,1
20,1209,2
21,1211,1
22,1251,1
23,1253,2
24,1254,2
25,1255,1
26,1264,13
27,1265,1
28,1267,1
29,1268,1
30,1270,2
31,1302,6
32,1303,1
33,1304,1
34,1307,3
35,1308,1
36,1310,1
37,1311,1
38,1313,2
39,1316,1
40,1318,1
41,1352,1
42,1355,1
43,1357,2
44,1358,3
45,1363,1
46,1367,1
47,1370,1
48,1400,1
49,1401,14
50,1408,3
51,1411,1
52,1414,2
53,1415,2
54,1418,2
55,1420,2
56,1422,1
57,1424,1
58,1427,1
59,1428,1
60,1430,2
61,1432,9
62,1436,5
63,1437,3
64,1439,1
65,1455,1
66,1456,1
67,1458,1
68,1459,1
69,1466,1
70,1468,2
71,1470,1
72,1561,6
73,1562,1
74,1564,1
75,1568,1
76,1573,1
77,1600,3
78,1601,2
79,1608,1
80,1617,1
81,1618,1
82,1620,3
83,1650,1
84,1651,2
85,1663,1
86,1665,4
87,1666,3
88,1668,1
89,1669,2
90,1671,1
91,1674,3
92,1700,2
93,1702,1
94,1705,1
95,1707,1
96,1708,1
97,1720,2
98,1721,2
99,1722,1
100,1751,1
101,1754,1
102,1756,1
103,1772,1
104,1777,2
105,1799,16
106,1801,1
107,1803,1
108,1806,1
109,1807,2
110,1810,5
111,1812,1
112,1813,1
113,1814,2
114,1815,2
115,1820,6
116,1825,1
117,1826,1
118,1829,1
119,1850,1
120,1852,1
121,1855,2
122,1864,1
123,1868,1
124,1870,3
125,1871,3
126,1873,1
127,1874,1
128,1875,1
129,1876,1
130,1878,1
131,1879,7
132,1902,1
133,1903,1
134,1904,1
135,1905,1
136,1910,2
137,1911,1
138,1913,1
139,1914,1
140,1916,1
141,1927,1
142,1960,2
143,1966,1
144,1970,3
145,1973,1
146,2000,105
147,2100,178
148,2150,24
149,2200,67
150,2300,293
151,2400,34
152,2450,64
153,2500,122
