index,By_fra_DST,Familiernes gennemsnitlige indkomst indkomst_x,antal anmeldelser,antal sigtelser,Familiernes gennemsnitlige indkomst indkomst_y,"m2 parker, sportsanlæg og rekreative omr pr indbygger",andel_dansk_opr,andel_vestlig_opr,andel_ikke_vestlig_opr,Gennemsnitlig pendligafstand
2,København,537084.0,67164.0,15055.0,537084.0,16.0,0.7175744260997142,0.11660227459880242,0.16582329930148332,12.6
3,Frederiksberg,651156.0,6772.0,1083.0,651156.0,9.8,0.7965892239248641,0.09133427126506712,0.11207650481006882,12.4
4,Dragør,823921.0,416.0,57.0,823921.0,69.8,0.911876599571142,0.04309331119872726,0.04503008923013073,18.1
5,Tårnby,608764.0,3268.0,932.0,608764.0,29.0,0.8405259685601838,0.047000477739609164,0.11247355370020702,13.6
7,Albertslund,515452.0,1735.0,390.0,515452.0,44.4,0.6687602105645307,0.04617897985115266,0.28506080958431657,13.6
8,Ballerup,594261.0,3216.0,1036.0,594261.0,77.6,0.774581118169779,0.04913344721033338,0.17628543461988752,14.5
9,Brøndby,507978.0,2441.0,549.0,507978.0,67.8,0.5947499810878282,0.07325314572458834,0.33199687318758353,13.7
10,Gentofte,1217829.0,4169.0,874.0,1217829.0,23.0,0.8257631273899777,0.07567985290394788,0.09855701970607438,15.0
11,Gladsaxe,625856.0,3910.0,1136.0,625856.0,28.0,0.7374545146822374,0.06507573834306507,0.19746974697469746,12.8
12,Glostrup,564924.0,1849.0,508.0,564924.0,47.4,0.7388593665006904,0.0552324365036194,0.20590819699569018,13.3
13,Herlev,582016.0,2480.0,1059.0,582016.0,47.4,0.7555091626072837,0.04354309573516254,0.20094774165755377,12.1
14,Hvidovre,579055.0,4127.0,1829.0,579055.0,32.3,0.7714439715257514,0.04979276248536327,0.17876326598888537,13.4
15,Høje-Taastrup,554695.0,2856.0,763.0,554695.0,57.2,0.6234841358077482,0.09540750876592834,0.28110835542632345,17.7
16,Ishøj,512504.0,1574.0,715.0,512504.0,88.8,0.5371358917237611,0.07721407254844269,0.3856500357277962,16.5
17,Lyngby-Taarbæk,826368.0,3720.0,794.0,826368.0,39.9,0.8084742866905861,0.07261233555441654,0.11891337775499744,14.8
18,Rødovre,570639.0,2721.0,863.0,570639.0,30.6,0.7315231758406703,0.05643300401012613,0.2120438201492036,12.1
19,Vallensbæk,660072.0,622.0,129.0,660072.0,66.8,0.6528396436525612,0.0727728285077951,0.27438752783964365,15.5
21,Allerød,849353.0,913.0,165.0,849353.0,85.9,0.889864110559341,0.03899603495399777,0.07113985448666128,19.8
22,Egedal,735029.0,1624.0,339.0,735029.0,76.2,0.8803433815619031,0.03829011790019101,0.0813665005379059,20.6
23,Fredensborg,723448.0,1964.0,663.0,723448.0,102.1,0.7993197278911565,0.07016792731078446,0.1305123447980591,22.9
