Ydertype;Speciale;Ydernr;titelpost;System;Praksisbetegnelse;Adresse;Postnr;Post_navn;Amt;navn;Lokationsnr;Telefonnr_1
5;80;67911;;CGM XMO;Mariager Lægeklinik I/S;Østergade 12;9550;Mariager;81;Region Nordjylland;5790000140046;98542000
80;80;68918;;;Mariager Lægeklinik I/S - Huslæger;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;98542000
5;80;69175;;EG Clinea;Toldbodlægerne;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790000135523;96199906
5;80;69264;;CGM XMO;Lægerne i Hanstholm;Bytorvet 16,1;7730;Hanstholm;81;Region Nordjylland;5790000126590;97981288
5;80;69787;;CGM XMO;Lægerne i Aalestrup;Testrupvej 2,b;9620;Aalestrup;81;Region Nordjylland;5790000125852;98641555
5;80;70688;;CGM XMO;Lægerne Bjerre & Jacobsen;Doktor Lunds Vej 2 B;7950;Erslev;81;Region Nordjylland;5790002009402;97762323
5;80;73148;;CGM XMO;Lægerne Louise Plads;Louisegade 2 A,st th.;9000;Aalborg;81;Region Nordjylland;5790000126538;98120355
5;80;73164;;CGM XMO;Lægerne Korsgade 16;Korsgade 16,2;9000;Aalborg;81;Region Nordjylland;5790000126859;98162200
5;80;73253;;CGM XMO;Lægerne Dronning Christines Vej;Dronn. Christines V. 26;9000;Aalborg;81;Region Nordjylland;5790000132690;98120711
5;80;73288;;EG Clinea;Lægerne Vesterbro Aps;Vesterbro 101,4.;9000;Aalborg;81;Region Nordjylland;5790000129935;98120670
5;80;73369;;CGM XMO;Lægerne Hasserisgaard;Skelagervej 379 c;9000;Aalborg;81;Region Nordjylland;5790000129119;98125656
5;80;73393;;CGM XMO;Lægerne Mellem Broerne;Mellem Broerne 7,1.;9400;Nørresundby;81;Region Nordjylland;5790000126286;98171750
5;80;73423;;EG Clinea;Lægerne Postvænget 1, Åbybro;Postvænget 1;9440;Aabybro;81;Region Nordjylland;5790000130740;98241311
5;80;73776;;CGM XMO;Lægerne Kirkepladsen 1 C;Kirkepladsen 1 C;9900;Frederikshavn;81;Region Nordjylland;5790000130399;98420400
5;80;73911;;EG Clinea;Lægehuset i Hals;Havnegade 7 B,1 tv;9370;Hals;81;Region Nordjylland;5790000134458;98251611
5;80;73946;;CGM XMO;alles Lægehus Hirtshals;Vanggårdsgade 17;9850;Hirtshals;81;Region Nordjylland;5790000126729;98941177
5;80;73954;;CGM XMO;Lægerne i Hjallerup;Gl Markedsvej 3;9320;Hjallerup;81;Region Nordjylland;5790000127832;98281666
5;80;74055;;CGM XMO;Lægehuset H. I. Biesgade 9;H I Biesgade 9;9500;Hobro;81;Region Nordjylland;5790000136353;98525266
5;80;74136;;CGM XMO;Lægerne i Løgstør;Fogedgade 3;9670;Løgstør;81;Region Nordjylland;5790000130467;98671500
5;80;74179;;CGM XMO;Lægerne i Nibe;Strandgade 1;9240;Nibe;81;Region Nordjylland;5790000129836;98351411
5;80;74225;;CGM XMO;Lægerne i Pandrup;Torvegade 6;9490;Pandrup;81;Region Nordjylland;5790000125593;98247088
5;80;74292;;EG Clinea;Lægerne Skovbrynet 1;Skovbrynet 1;9990;Skagen;81;Region Nordjylland;5790000125975;98441711
5;80;74365;;EG Clinea;Lægerne i Svenstrup;Tingstedet 8;9230;Svenstrup J;81;Region Nordjylland;5790000133406;98381811
5;80;74411;;CGM XMO;Lægerne Karsten Ewald & Carl Brandt;Sct. Laurentii Vej 108 A;9990;Skagen;81;Region Nordjylland;5790000129690;98443222
5;80;74438;;EG Clinea;Lægerne i Terndrup;Birkevej 2 A;9575;Terndrup;81;Region Nordjylland;5790000126637;98335433
5;80;74454;;CGM XMO;Lægeklinikken i Sulsted Aps;Doktorstien 5;9381;Sulsted;81;Region Nordjylland;5790000125531;98261266
5;80;74462;;EG Clinea;Lægehuset i Vodskov;Vodskovvej 22;9310;Vodskov;81;Region Nordjylland;5790000125524;98293911
5;80;74489;;EG Clinea;Lægerne i Vrå;Vrejlevvej 54;9760;Vrå;81;Region Nordjylland;5790000139026;98981711
5;80;74675;;MyClinic;Lægehuset i Hornum;Hasselvej 6;9600;Aars;81;Region Nordjylland;5790000144877;98666003
5;80;74705;;CGM XMO;Taars Lægehus;Bredgade 91;9830;Tårs;81;Region Nordjylland;5790000135288;98961522
5;80;74888;;CGM XMO;Lægehuset Dronninglund;Stationsvej 10;9330;Dronninglund;81;Region Nordjylland;5790000134052;98841888
5;80;75000;;CGM XMO;Lægerne Vestkysten I/S;Stationsvej 1;9480;Løkken;81;Region Nordjylland;5790002269837;98889188
5;80;75086;;CGM XMO;Gandrup Lægeklinik;Borgergade 39;9362;Gandrup;81;Region Nordjylland;5790000132126;98259700
5;80;75248;;CGM XMO;Onsild Lægehus;Viborg Landevej 52;9500;Hobro;81;Region Nordjylland;5790000127351;98544066
5;80;75337;;CGM XMO;Lægerne i Gug;Gugvej 180;9210;Aalborg SØ;81;Region Nordjylland;5790000126385;98142911
5;80;75345;;EG Clinea;Lægerne Skrågade 13;Skrågade 13;9400;Nørresundby;81;Region Nordjylland;5790000141944;98172055
5;80;75442;;EG Clinea;Lægerne i Skalborg;Lindenborgvej 93;9200;Aalborg SV;81;Region Nordjylland;5790000133451;98181511
5;80;75590;;EG Clinea;Lægehuset Sæbygårdvej;Sæbygårdvej 11;9300;Sæby;81;Region Nordjylland;5790000125814;98461122
5;80;75647;;NOVAX;Lægerne i Øster Hornum;Torvet 4;9530;Støvring;81;Region Nordjylland;5790000128495;98385100
5;80;75728;;CGM XMO;Lægeklinikken Vendia;Bispensgade 65,1.;9800;Hjørring;81;Region Nordjylland;5790000131907;98920722
5;80;75779;;CGM XMO;Lægeklinikken Østerbro;Østerbro 107;9000;Aalborg;81;Region Nordjylland;5790000126125;98169811
5;80;75876;;CGM XMO;Lægehuset Østermarken;Østermarken 16;9600;Aars;81;Region Nordjylland;5790000129904;98622844
5;80;75892;;EG Clinea;Lene-Marie Axelgaard;Sct Cathrine Vej 17;9800;Hjørring;81;Region Nordjylland;5790000132287;98901699
5;80;75922;;EG Clinea;Lægerne Kennedy Arkaden;John F. Kennedys Pl. 1 E,5;9000;Aalborg;81;Region Nordjylland;5790000130450;98124335
5;80;76082;;EG Clinea;Lægehuset Aalborg;John F. Kennedys Pl. 43,1;9000;Aalborg;81;Region Nordjylland;5790000126378;98135713
5;80;76155;;CGM XMO;Lægerne Vejgård Torv;Vejgård Torv 1,1.;9000;Aalborg;81;Region Nordjylland;5790000125913;98113066
5;80;76201;;CGM XMO;Lægerne i Klarup;Klarupvej 7;9270;Klarup;81;Region Nordjylland;5790000141487;98319044
5;80;76333;;CGM XMO;Midtbylægerne Aalborg;Vingårdsgade 9,3.;9000;Aalborg;81;Region Nordjylland;5790000136520;98120473
5;80;76368;;CGM XMO;Lægehuset i Skørping;Herman Bangs Vej 4;9520;Skørping;81;Region Nordjylland;5790000130306;98391311
5;80;76562;;EG Clinea;Lægerne Bispensgade;Bispensgade 65,st;9800;Hjørring;81;Region Nordjylland;5790000129386;98920999
5;80;76635;;EG Clinea;Lægerne Aahaven;Gasværksvej 20;9300;Sæby;81;Region Nordjylland;5790000131914;98464544
5;80;76643;;EG WinPLC;Wiebke Otten;Gravensgade 42;9700;Brønderslev;81;Region Nordjylland;5790000152247;99204040
5;80;76732;;EG Clinea;Lægerne Thorsvej;Thorsvej 58;9800;Hjørring;81;Region Nordjylland;5790000146284;98920077
5;80;76848;;EG WinPLC;Nytorv Lægeklinik;Østerågade 17,2 tv;9000;Aalborg;81;Region Nordjylland;5790000134885;98136090
5;80;76856;;EG Clinea;Mette Degn Larsen;Nørregade 4,1.;9000;Aalborg;81;Region Nordjylland;5790000148097;98116444
5;80;76872;;EG Clinea;Carsten Andreasen;Dag Hammarskjølds G. 4,1;9000;Aalborg;81;Region Nordjylland;5790000148356;98122575
5;80;77011;;EG Clinea;Bolette Friderichsen;Korsgade 9;9500;Hobro;81;Region Nordjylland;5790000139019;98522242
5;80;77038;;EG Clinea;Lægeklinikken i Centrum;Østerågade 9,1. th.;9000;Aalborg;81;Region Nordjylland;5790000152551;96350300
5;80;77143;;EG Clinea;Lægehuset Støvring;Bavnebakken 101;9530;Støvring;81;Region Nordjylland;5790000130139;98373055
5;80;77178;;CGM XMO;Lægerne i Jernbanegade;Jernbanegade 7 A,1.;9530;Støvring;81;Region Nordjylland;5790000133802;98371722
5;80;77208;;CGM XMO;Saxhøj Lægeklinik v/ Ole Lund;H. C. Ørsteds Vej 2 A;7900;Nykøbing M;81;Region Nordjylland;5790001366346;96144500
5;80;77224;;CGM XMO;Lægeklinikken Aars;Banegårdsvej 2,1;9600;Aars;81;Region Nordjylland;5790000129928;98623411
5;80;77232;;EG Clinea;Kirstine Agger;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790001380304;96199912
5;80;77259;;EG Clinea;Lægeklinik Lone Vestergaard;Lindalsvej 15,st th;9560;Hadsund;81;Region Nordjylland;5790001381868;98571033
5;80;77283;;EG Clinea;Lægerne Bølgen;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790001384920;96199904
5;80;77305;;CGM XMO;Arden Lægehus;Blåkildevej 16;9510;Arden;81;Region Nordjylland;5790001387419;98561400
5;80;77313;;CGM XMO;Krzysztof Zbroja;Sygehusvej 6 B,1;9460;Brovst;81;Region Nordjylland;5790000133765;79304032
5;80;77321;;EG Clinea;Rikke Nyborg;Strømgade 16;9800;Hjørring;81;Region Nordjylland;5790002410673;98923033
5;80;77348;;CGM XMO;Lægerne Eternitten;Sohngårdsholmsvej 2,1;9000;Aalborg;81;Region Nordjylland;5790001985837;98775000
5;80;77356;;EG Clinea;Kenny Birk Bøtcher;Tolstrupvej 91,st,-1;9700;Brønderslev;81;Region Nordjylland;5790001983055;96452728
5;80;77364;;CGM XMO;Lægerne Boulevarden 30;Boulevarden 30,2.;9000;Aalborg;81;Region Nordjylland;5790000129768;98120111
5;80;77399;;EG Clinea;Lægerne Chrestensmindevej;Chrestensmindevej 1;9300;Sæby;81;Region Nordjylland;5790000131259;98463388
5;80;77402;;EG Clinea;Læge Mikkel Nordkap;Vingårdsgade 9,2.;9000;Aalborg;81;Region Nordjylland;5790001997816;98204030
5;80;77410;;EG Clinea;Lægerne Hasseris Bymidte;Thulebakken 22,1 tv;9000;Aalborg;81;Region Nordjylland;5790000141715;98182233
5;80;77437;;CGM XMO;Stefanie Nolting;Strandparken 48;7900;Nykøbing M;81;Region Nordjylland;5790002002496;82131410
5;80;77445;;CGM XMO;Marianne Stampe Henningsen;Kongensgade 11;9800;Hjørring;81;Region Nordjylland;5790002002946;98922811
5;80;77461;;CGM XMO;Lægerne Budolfi Plads;Budolfi Plads 1,2 th;9000;Aalborg;81;Region Nordjylland;5790002397912;98124466
5;80;77488;;CGM XMO;Lægerne Vejgaard Sundhedscenter;Heimdalsgade 11;9000;Aalborg;81;Region Nordjylland;5790002007910;98121218
5;80;77496;;CGM XMO;Jeanette Haagh;Kongensgade 11;9800;Hjørring;81;Region Nordjylland;5790002011450;98927799
