Postal code,Antal_laeger,Stationer
1100,1,0
1117,2,0
1123,1,0
1130,1,0
1160,1,0
1254,1,0
1353,1,0
1356,1,0
1362,1,0
1364,2,0
1400,1,0
1410,1,0
1422,3,0
1459,1,0
1602,1,0
1619,1,0
1620,10,0
1635,1,0
1665,3,0
1756,1,0
1799,1,0
1810,1,0
1819,1,0
1850,1,0
1862,2,0
1866,1,0
1870,1,0
1906,1,0
1952,1,0
1954,1,0
1958,1,0
1970,2,0
2000,31,4
2100,34,2
2200,25,0
2300,36,1
2400,12,2
2450,4,1
2500,16,6
2600,6,0
2605,7,1
2610,10,1
2620,12,1
2625,1,0
2630,10,2
2635,3,1
2640,6,1
2650,17,4
2660,4,1
2665,4,1
2670,15,2
2680,4,2
2690,1,1
2700,14,1
2720,11,4
2730,8,1
2740,4,1
2750,11,2
2760,3,1
2765,1,0
2770,16,2
2791,5,0
2800,13,2
2820,12,3
2830,4,2
2840,6,1
2850,6,1
2860,13,2
2880,10,2
2900,7,3
2920,10,2
2930,2,1
2950,1,1
2960,2,1
2970,7,1
2980,2,0
2990,3,1
3000,11,1
3050,4,1
3060,4,1
3100,3,0
3140,3,0
3200,3,1
3210,1,0
3230,1,0
3250,2,1
3300,4,1
3320,1,0
3390,2,0
3400,14,1
3450,6,1
3460,9,1
3480,3,1
3490,1,0
3500,8,2
3520,5,1
3540,2,0
3550,1,0
3600,6,2
3630,1,0
3650,3,1
3660,2,1
3700,4,0
3720,1,0
3730,2,0
3740,1,0
3760,1,0
3770,1,0
3782,1,0
3790,1,0
4000,26,1
4030,2,0
4040,2,0
4050,3,0
4070,1,0
4100,7,0
4130,2,1
4140,1,1
4171,1,1
4180,4,1
4200,11,0
4220,3,1
4230,5,0
4250,1,0
4270,1,1
4281,2,0
4293,1,1
4295,1,0
4300,9,1
4305,1,0
4320,1,1
4330,2,1
4340,2,1
4400,8,2
4420,1,1
4440,1,2
4450,1,1
4500,5,1
4520,1,0
4540,1,0
4550,1,1
4560,1,0
4592,1,0
4600,16,3
4622,1,1
4623,1,1
4632,1,0
4640,3,0
4652,1,1
4653,1,0
4660,1,1
4681,2,1
4683,1,0
4684,1,1
4690,4,1
4700,14,2
4720,3,0
4750,1,1
4760,6,1
4772,1,0
4780,3,0
4800,10,0
4840,2,1
4850,1,0
4863,1,1
4880,1,0
4900,4,1
4913,1,0
4930,4,1
4944,1,0
4945,1,0
4970,2,0
4990,1,1
5000,44,1
5200,1,0
5210,3,0
5220,3,0
5230,4,0
5240,1,0
5250,3,2
5270,3,0
5300,4,1
5330,2,0
5400,2,0
5450,2,0
5462,1,0
5463,2,0
5464,1,0
5471,2,0
5492,1,2
5500,5,1
5540,1,0
5550,1,1
5560,1,1
5580,1,1
5591,1,1
5600,6,1
5610,2,0
5620,1,0
5672,2,0
5683,2,0
5690,1,1
5700,14,1
5750,3,3
5771,1,2
5772,1,1
5792,1,1
5800,5,1
5853,1,0
5854,1,0
5863,1,0
5874,1,0
5881,1,0
5900,5,1
5960,1,0
5970,2,1
6000,19,0
6040,1,0
6052,1,0
6070,3,0
6091,1,0
6094,1,0
6100,9,0
6200,15,1
6230,1,1
6240,1,0
6261,1,2
6270,4,2
6280,1,0
6300,3,1
6310,1,0
6330,1,1
6360,1,1
6372,1,0
6400,10,1
6430,3,0
6440,1,0
6470,2,0
6500,3,1
6510,2,0
6520,2,0
6534,1,0
6580,1,1
6600,6,1
6621,1,0
6623,1,0
6630,3,0
6640,1,1
6650,1,1
6670,1,1
6690,1,1
6700,19,0
6705,1,1
6710,3,2
6715,2,1
6720,1,0
6740,3,2
6753,3,0
6760,9,3
6780,2,4
6800,6,4
6823,1,0
6830,1,0
6840,1,1
6870,2,2
6880,1,1
6900,2,2
6920,2,1
6933,1,1
6950,3,2
6960,1,0
6971,1,0
6980,1,1
6990,2,1
7000,12,2
7080,3,1
7100,18,1
7120,2,0
7130,1,0
7160,1,0
7171,1,0
7182,1,0
7184,1,0
7190,2,0
7200,4,0
7260,1,0
7280,1,0
7300,1,1
7323,1,2
7330,2,1
