,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Rooms_imputed,Trivsel_imputed,Grades_imputed,Toilets_imputed
"Mellemtoftevej 36,2600",3995000.0,"Hospitalsskolen , Børne og Ungdomspsykiatrisk Center",0.391,7.187917737789203,3.7284061696658095,Rækkehus, D,Høj,24.6,25.0,"Der er 23.514 indbyggere i Glostrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 25‰.",1.0,128.0,388.0,2.889,1 toilet,1947,1.0,2600,https://www.boligsiden.dk/addresses/0a3f50a4-be85-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Strandpromenaden 21, 1. tv.,3000",6095000.0,Skolen i Bymidten,0.336,7.18298800436205,3.7237731733914936,Ejerlejlighed, A2015,Lav,25.52,28.5,"Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",0.0,136.0,136.0,6.056,2 toiletter,2020,2.0,3000,https://www.boligsiden.dk/addresses/0d5cec39-0046-4f36-9850-8c2d08933fd5,0,0,0,0,1,1,0
"Hjortdalvej 331,9460",3995000.0,Skovsgård Tranum skole,5.24,6.9,3.6,Landejendom, D,Meget lav,25.7,32.85,"Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",0.0,173.0,173706.0,2.089,1 toilet,1912,1.0,9460,https://www.boligsiden.dk/addresses/39ff92cd-f2b1-0991-e044-0003ba298018,0,0,0,0,0,0,0
"Lystgårdsparken 34,8300",2798000.0,Parkvejens Skole,5.16,7.0,3.7,Villa, B,Mellem,25.1,30.32,"Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",180.0,159.0,758.0,1.838,1 toilet,2008,1.0,8300,https://www.boligsiden.dk/addresses/363cc2db-6e07-1eb8-e044-0003ba298018,0,0,0,0,0,0,0
"Fuglsøvej 92,8420",6000000.0,Molsskolen,3.74,7.4,3.7,Villa, D,Høj,25.9,33.8,"Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",0.0,265.0,8889.0,3.434,4 toiletter,1884,4.0,8420,https://www.boligsiden.dk/addresses/0a3f50bf-6f17-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Korsebjergengen 19,2630",4195000.0,Ole Rømer-Skolen,1.5,5.4,3.5,Villa, C,Høj,24.6,24.4,"Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",193.0,144.0,954.0,2.934,2 toiletter,1900,2.0,2630,https://www.boligsiden.dk/addresses/0a3f50a5-c475-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Vestervang 32, 2. tv.,2500",3200000.0,Hanssted Skole,0.283,7.3,3.8,Ejerlejlighed, D,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",124.0,75.0,75.0,4.469,1 toilet,1935,1.0,2500,https://www.boligsiden.dk/addresses/0a3f50a1-9ec5-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Capellavej 45,8270",6795000.0,Rundhøjskolen,0.909,7.7,3.7,Villa, C,Høj,24.52,24.58,"Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",0.0,133.0,810.0,4.434,3 toiletter,1966,3.0,8270,https://www.boligsiden.dk/addresses/0a3f50c2-a1bc-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Grønkjærsvej 44,7000",2298000.0,"Erritsø Fællesskole, Krogagervej",0.413,7.013960916948516,3.7173431040962046,Villa, D,Høj,25.5,26.0,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",0.0,148.0,746.0,2.71,2 toiletter,1970,2.0,7000,https://www.boligsiden.dk/addresses/0a3f50ba-9d7d-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Ramsherred 31,5900",795000.0,Ørstedskolen,1.63,7.013960916948516,3.7173431040962046,Villa, B,Høj,26.3,24.57,"Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",0.0,80.0,197.0,1.092,1 toilet,1877,1.0,5900,https://www.boligsiden.dk/addresses/0a3f50b5-4841-32b8-e044-0003ba298018,0,0,0,0,1,1,0
