,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Rooms_imputed,Trivsel_imputed,Grades_imputed,Toilets_imputed,Muncipiality
"Mellemtoftevej 36,2600",3995000.0,"Hospitalsskolen , Børne og Ungdomspsykiatrisk Center",0.391,7.187917737789203,3.7284061696658095,Rækkehus, D,Høj,24.6,25.0,1.0,128.0,388.0,2.889,5.0,1947,1.0,2600,https://www.boligsiden.dk/addresses/0a3f50a4-be85-32b8-e044-0003ba298018,0,0,0,0,1,1,0,Glostrup Kommune
"Strandpromenaden 21, 1. tv.,3000",6095000.0,Skolen i Bymidten,0.336,7.18298800436205,3.7237731733914936,Ejerlejlighed, A2015,Lav,25.52,28.5,0.0,136.0,136.0,6.056,5.0,2020,2.0,3000,https://www.boligsiden.dk/addresses/0d5cec39-0046-4f36-9850-8c2d08933fd5,0,0,0,0,1,1,0,Helsingør Kommune
"Hjortdalvej 331,9460",3995000.0,Skovsgård Tranum skole,5.24,6.9,3.6,Landejendom, D,Meget lav,25.7,32.85,0.0,173.0,173706.0,2.089,5.0,1912,1.0,9460,https://www.boligsiden.dk/addresses/39ff92cd-f2b1-0991-e044-0003ba298018,0,0,0,0,0,0,0,Jammerbugt Kommune
"Lystgårdsparken 34,8300",2798000.0,Parkvejens Skole,5.16,7.0,3.7,Villa, B,Mellem,25.1,30.32,180.0,159.0,758.0,1.838,4.0,2008,1.0,8300,https://www.boligsiden.dk/addresses/363cc2db-6e07-1eb8-e044-0003ba298018,0,0,0,0,0,0,0,Odder Kommune
"Fuglsøvej 92,8420",6000000.0,Molsskolen,3.74,7.4,3.7,Villa, D,Høj,25.9,33.8,0.0,265.0,8889.0,3.434,12.0,1884,4.0,8420,https://www.boligsiden.dk/addresses/0a3f50bf-6f17-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Syddjurs Kommune
"Korsebjergengen 19,2630",4195000.0,Ole Rømer-Skolen,1.5,5.4,3.5,Villa, C,Høj,24.6,24.4,193.0,144.0,954.0,2.934,6.0,1900,2.0,2630,https://www.boligsiden.dk/addresses/0a3f50a5-c475-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Høje-Taastrup Kommune
"Vestervang 32, 2. tv.,2500",3200000.0,Hanssted Skole,0.283,7.3,3.8,Ejerlejlighed, D,Mellem,23.7,34.0,124.0,75.0,75.0,4.469,3.0,1935,1.0,2500,https://www.boligsiden.dk/addresses/0a3f50a1-9ec5-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Københavns Kommune
"Capellavej 45,8270",6795000.0,Rundhøjskolen,0.909,7.7,3.7,Villa, C,Høj,24.52,24.58,0.0,133.0,810.0,4.434,5.0,1966,3.0,8270,https://www.boligsiden.dk/addresses/0a3f50c2-a1bc-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Aarhus Kommune
"Grønkjærsvej 44,7000",2298000.0,"Erritsø Fællesskole, Krogagervej",0.413,7.013960916948516,3.7173431040962046,Villa, D,Høj,25.5,26.0,0.0,148.0,746.0,2.71,6.0,1970,2.0,7000,https://www.boligsiden.dk/addresses/0a3f50ba-9d7d-32b8-e044-0003ba298018,0,0,0,0,1,1,0,Fredericia Kommune
"Ramsherred 31,5900",795000.0,Ørstedskolen,1.63,7.013960916948516,3.7173431040962046,Villa, B,Høj,26.3,24.57,0.0,80.0,197.0,1.092,3.0,1877,1.0,5900,https://www.boligsiden.dk/addresses/0a3f50b5-4841-32b8-e044-0003ba298018,0,0,0,0,1,1,0,Langeland Kommune
"Mellem Broerne 7C, 2. 1.,9400",3795000.0,Skansevejens Skole,0.371,7.0,3.8,Ejerlejlighed, C,Lav,25.4,26.95,1.0,109.0,109.0,4.211,4.0,2007,1.0,9400,https://www.boligsiden.dk/addresses/1f7a7527-9eeb-403c-e044-0003ba298018,1,1,0,0,0,0,0,Aalborg Kommune
"Søtofteparken 56,3660",3395000.0,Ganløse Skole,0.615,7.187917737789203,3.7284061696658095,Rækkehus, C,Høj,25.7,23.98,0.0,130.0,226.0,3.589,5.0,1972,2.0,3660,https://www.boligsiden.dk/addresses/0a3f50aa-abef-32b8-e044-0003ba298018,0,0,0,0,1,1,0,Egedal Kommune
"Reventlowsgade 32, 2. tv.,1651",7000000.0,Gasværksvejens Skole,0.469,8.2,3.6,Ejerlejlighed, C,Mellem,23.7,34.0,0.0,117.0,117.0,5.914,4.0,1889,1.0,1651,https://www.boligsiden.dk/addresses/0a3f50a0-48ee-32b8-e044-0003ba298018,0,1,0,0,0,0,0,Københavns Kommune
"Dådyrvænget 605,2980",5995000.0,Kokkedal Skole,1.49,7.2,3.8,Villa, D,Høj,25.3,24.65,0.0,157.0,701.0,4.264,6.0,1975,2.0,2980,https://www.boligsiden.dk/addresses/0a3f50aa-5371-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Fredensborg Kommune
"Nybro Vænge 56,2800",7245000.0,Stengård Skole,1.29,8.1,3.8,Rækkehus, C,Lav,23.6,23.0,0.0,89.0,268.0,5.008,4.0,1957,1.0,2800,https://www.boligsiden.dk/addresses/0a3f50a4-7714-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Gladsaxe Kommune
"Steveltvej 17,6100",1845000.0,Starup-Øsby Skole og Børnehus,6.96,6.4,3.8,Villa, C,Høj,26.3,24.36,0.0,215.0,1562.0,1.706,5.0,1908,2.0,6100,https://www.boligsiden.dk/addresses/0a3f50b6-df13-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Haderslev Kommune
"Vestergade 183B,6792",695000.0,Skærbæk Distriktsskole,15.1,6.0,3.6,Ejerlejlighed,fejl,Meget lav,25.3,21.24,1.0,71.0,71.0,3.63,3.0,1987,1.0979886539453327,6792,https://www.boligsiden.dk/addresses/0a3f50b7-7a59-32b8-e044-0003ba298018,0,0,0,0,0,0,1,Tønder Kommune
"Bistrup Park 48,3460",1850000.0,Søholmskolen,1.26,7.9,3.7,Ejerlejlighed, D,Mellem,23.21,22.93,141.0,73.0,73.0,4.257,3.0,1960,1.0,3460,https://www.boligsiden.dk/addresses/0a3f50a7-e027-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Rudersdal Kommune
"Sjørslevvej 65,8620",495000.0,"Trekløverskolen, Silkeborg",4.16,6.8,3.7,Villa, F,Mellem,25.5,28.26,0.0,143.0,587.0,1.476,5.0,1929,1.0,8620,https://www.boligsiden.dk/addresses/0a3f50c5-2e33-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Silkeborg Kommune
"Skolegade 11,8881",1295000.0,Tungelundskolen,0.52,6.9,3.6,Villa, C,Mellem,25.7,23.32,0.0,110.0,760.0,1.317,5.0,1956,2.0,8881,https://www.boligsiden.dk/addresses/0a3f50c5-0c6e-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Favrskov Kommune
"Sønderdalvej 6,8831",695000.0,Løgstrup Skole,1.66,7.1,3.7,Villa, E,Høj,25.5,23.7,0.0,102.0,735.0,1.163,3.0,1887,1.0,8831,https://www.boligsiden.dk/addresses/0a3f50c6-9bcb-32b8-e044-0003ba298018,0,0,0,0,0,0,0,Viborg Kommune
"Nygårdsvej 9,6700",1798000.0,Danmarksgades Skole,0.605,7.18298800436205,3.7237731733914936,Ejerlejlighed, C,Meget lav,25.8,25.29,0.0,91.0,91.0,2.008,4.0,1906,1.0,6700,https://www.boligsiden.dk/addresses/4e0933d8-470e-4258-bd67-6bac3aae6aae,0,0,0,0,1,1,0,Esbjerg Kommune
