,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Klingeskov 56,5450",2.095.000 kr.,Sletten Skole,"4,56 km",6.8,3.8,Landejendom,Energimærke D,Mellem,26%,"29,98‰.","Der er 29.714 indbyggere i Nordfyns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 29,98‰.",Til salg i alt: 323 dage,235 m²,Grund: 43210 m²,Ejerudg.: 2.105 kr/md,7 værelser,Opført 1915,2 toiletter,5450,https://www.boligsiden.dk/addresses/0a3f50b5-16ae-32b8-e044-0003ba298018,,,,
"Gjelstensåsen 197,3650",4.595.000 kr.,Stengårdsskolen,607 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,7%","23,98‰.","Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",Til salg i alt: 10 dage,162 m²,Grund: 801 m²,Ejerudg.: 3.756 kr/md,6 værelser,Opført 1996,2 toiletter,3650,https://www.boligsiden.dk/addresses/0a3f50aa-b669-32b8-e044-0003ba298018,,,,
"Erantisvej 1,4171",1.495.000 kr.,"Susåskolen, afd. Glumsø",921 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 10 dage,140 m²,Grund: 922 m²,Ejerudg.: 1.947 kr/md,5 værelser,Opført 1965,1 toilet,4171,https://www.boligsiden.dk/addresses/0a3f50b1-6f97-32b8-e044-0003ba298018,,,,
"Glentevej 22,3390",2.595.000 kr.,Hundested Skole,"1,06 km",6.6,3.6,Villa,Energimærke D,Mellem,"25,7%",34‰.,"Der er 31.344 indbyggere i Halsnæs Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 34‰.",Til salg i alt: 10 dage,125 m²,Grund: 801 m²,Ejerudg.: 2.322 kr/md,5 værelser,Opført 1975,1 toilet,3390,https://www.boligsiden.dk/addresses/0a3f50a9-ec2a-32b8-e044-0003ba298018,,,,
"Liljevænget 39,6710",3.498.000 kr.,Hjerting Skole,885 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 10 dage,154 m²,Grund: 852 m²,Ejerudg.: 2.630 kr/md,4 værelser,Opført 1968,2 toiletter,6710,https://www.boligsiden.dk/addresses/0a3f50b9-0cd8-32b8-e044-0003ba298018,,,,
"Badstuestræde 12, 1.,1209",6.695.000 kr.,Den Classenske Legatskole,574 m,8.1,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 10 dage,95 m²,,Ejerudg.: 3.339 kr/md,4 værelser,Opført 1800,1 toilet,1209,https://www.boligsiden.dk/addresses/0a3f509d-3db4-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Lindevej 46,7600",2.245.000 kr.,Langhøjskolen,851 m,6.9,3.8,Villa,Energimærke D,Lav,"25,3%","22,9‰.","Der er 20.802 indbyggere i Struer Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 22,9‰.",Til salg i alt: 10 dage,210 m²,Grund: 18016 m²,Ejerudg.: 2.290 kr/md,7 værelser,Opført 1925,1 toilet,7600,https://www.boligsiden.dk/addresses/0a3f50be-dcba-32b8-e044-0003ba298018,,,,
"Ved Møllen 2,2970",6.995.000 kr.,Hørsholm Skole,713 m,8.4,3.8,Villa,Energimærke D,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 10 dage,141 m²,Grund: 453 m²,Ejerudg.: 5.133 kr/md,5 værelser,Opført 1961,2 toiletter,2970,https://www.boligsiden.dk/addresses/a1f5ed62-5e58-46c8-92bd-1a157647f0bc,,,,
"Tingskoven 8,7330",2.485.000 kr.,Dalgasskolen,670 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 10 dage,149 m²,Grund: 660 m²,Ejerudg.: 1.838 kr/md,6 værelser,Opført 1988,1 toilet,7330,https://www.boligsiden.dk/addresses/0a3f50bd-2d58-32b8-e044-0003ba298018,,,,
"Oddermose Strandvej 1,4780",2.150.000 kr.,Møn skole,"4,14 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Meget høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 254 dage,193 m²,Grund: 1349 m²,Ejerudg.: 1.538 kr/md,6 værelser,Opført 1795,1 toilet,4780,https://www.boligsiden.dk/addresses/0a3f50af-ed75-32b8-e044-0003ba298018,,,,
