,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Ryetvej 59, 1. tv.,3500",2.295.000 kr.,Lille Værløse Skole,323 m,7.6,3.8,Ejerlejlighed,Energimærke C,Mellem,"24,88%","21,5‰.","Der er 41.402 indbyggere i Furesø Kommune. Kommuneskatten er på 24,88% og grundskyldspromillen på 21,5‰.",Til salg i alt: 25 dage,76 m²,Ejerudg.: 4.175 kr/md,Elevator: Nej,3 værelser,Opført 1968,1 toilet,Altan: Ja,Terrasse: Nej,3500,https://www.boligsiden.dk/addresses/0a3f50a7-a5c9-32b8-e044-0003ba298018,,
"Flagbakkevej 26, st. 37.,9990",2.195.000 kr.,Skagen Skole,"3,27 km",Ikke oplyst,Ikke oplyst,Ejerlejlighed/Fritidsbolig,Energimærke E,Meget lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 25 dage,90 m²,Ejerudg.: 2.110 kr/md,Elevator: Nej,2 værelser,Opført 2007,-,Altan: Nej,Terrasse: Nej,9990,https://www.boligsiden.dk/addresses/5338c3f8-bb0d-00e2-e044-0003ba298018,,
"Nørregårdsvej 10,5771",1.895.000 kr.,Issø-skolen,"2,75 km",6.8,3.7,Villa,Energimærke B,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 25 dage,140 m²,Ejerudg.: 1.622 kr/md,,6 værelser,Opført 1906,1 toilet,,,5771,https://www.boligsiden.dk/addresses/0a3f50b2-7d7e-32b8-e044-0003ba298018,Grund: 1382 m²,
"Østre Ringvej 17,8305",1.245.000 kr.,Samsø Skole,"14,62 km",6.7,3.6,Villa/Fritidsbolig,Energimærke E,Høj,"25,9%","30,75‰.","Der er 3.716 indbyggere i Samsø Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 30,75‰.",Til salg i alt: 25 dage,56 m²,Ejerudg.: 1.080 kr/md,,3 værelser,Opført 1894,1 toilet,,,8305,https://www.boligsiden.dk/addresses/0a3f50c1-b251-32b8-e044-0003ba298018,Grund: 144 m²,
"Langemarksvej 10,7100",1.195.000 kr.,Lindved Skole,455 m,6.9,3.6,Villa,Energimærke D,Høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 25 dage,176 m²,Ejerudg.: 1.485 kr/md,,6 værelser,Opført 1976,2 toiletter,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-7fbe-32b8-e044-0003ba298018,Grund: 909 m²,
"Unnasvej 19,3000",4.195.000 kr.,Helsingør Skole,668 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 25 dage,109 m²,Ejerudg.: 4.365 kr/md,,4 værelser,Opført 1954,2 toiletter,,,3000,https://www.boligsiden.dk/addresses/0a3f50a9-983f-32b8-e044-0003ba298018,Grund: 750 m²,
"Ollendorffsvej 3,9900",1.679.000 kr.,Nordstjerneskolen,326 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 25 dage,125 m²,Ejerudg.: 1.179 kr/md,,5 værelser,Opført 1964,1 toilet,,,9900,https://www.boligsiden.dk/addresses/0a3f50c7-7ba4-32b8-e044-0003ba298018,Grund: 817 m²,
"Strøvej 53,3320",2.495.000 kr.,Kornmarkskolen,"1,71 km",7.1,3.7,Villa,Energimærke B,Høj,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 302 dage,153 m²,Ejerudg.: 2.795 kr/md,,5 værelser,Opført 1951,1 toilet,,,3320,https://www.boligsiden.dk/addresses/0a3f50aa-872a-32b8-e044-0003ba298018,Grund: 787 m²,
"Rønnevej 27,4140",3.495.000 kr.,Borup Skole,464 m,7.2,3.7,Villa,Energimærke C,Meget høj,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 25 dage,149 m²,Ejerudg.: 2.483 kr/md,,5 værelser,Opført 1968,2 toiletter,,,4140,https://www.boligsiden.dk/addresses/0a3f50ac-47d9-32b8-e044-0003ba298018,Grund: 1000 m²,
"Søndergade 153,5591",3.395.000 kr.,Gelsted Skole,"2,14 km",5.9,3.8,Villa,Energimærke D,Mellem,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 25 dage,245 m²,Ejerudg.: 2.398 kr/md,,8 værelser,Opført 1860,2 toiletter,,,5591,https://www.boligsiden.dk/addresses/0a3f50b2-94c7-32b8-e044-0003ba298018,Grund: 18233 m²,
"Indre Vordingborgvej 34C,4700",2.145.000 kr.,Sjølundskolen,704 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke C,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 25 dage,99 m²,Ejerudg.: 2.036 kr/md,,3 værelser,Opført 2006,1 toilet,,,4700,https://www.boligsiden.dk/addresses/0c65634c-d3ca-30a3-e044-0003ba298018,Grund: 103 m²,
"Bellisvej 37,4600",4.495.000 kr.,Søndre Skole,642 m,7.4,3.7,Villa,Energimærke D,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 25 dage,206 m²,Ejerudg.: 3.315 kr/md,,5 værelser,Opført 1961,2 toiletter,,,4600,https://www.boligsiden.dk/addresses/0a3f50ab-58bb-32b8-e044-0003ba298018,Grund: 700 m²,
"Lyngfeldvænget 25,8464",1.795.000 kr.,Gyvelhøjskolen,970 m,7.2,3.7,Rækkehus,Energimærke C,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 25 dage,100 m²,Ejerudg.: 1.969 kr/md,,4 værelser,Opført 1980,1 toilet,,,8464,https://www.boligsiden.dk/addresses/0a3f50bf-a4bd-32b8-e044-0003ba298018,Grund: 300 m²,
"Kastanievej 14,3000",3.495.000 kr.,Skolen ved Rønnebær Allé,320 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke D,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 25 dage,121 m²,Ejerudg.: 3.869 kr/md,,5 værelser,Opført 1962,1 toilet,,,3000,https://www.boligsiden.dk/addresses/0a3f50a9-4cd6-32b8-e044-0003ba298018,Grund: 280 m²,
"Læssøegade 27,8600",2.495.000 kr.,Vestre Skole,803 m,7.5,3.7,Villa,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 25 dage,90 m²,Ejerudg.: 2.885 kr/md,,3 værelser,Opført 1925,2 toiletter,,,8600,https://www.boligsiden.dk/addresses/0a3f50c1-f0c5-32b8-e044-0003ba298018,Grund: 114 m²,
"Røngårdsvej 7,7673",2.995.000 kr.,"Tangen Skole og Børnecenter, Afd. Harboøre","2,88 km",6.9,3.8,Villa/Fritidsbolig,Energimærke C,Meget lav,"25,46%",28‰.,"Der er 19.398 indbyggere i Lemvig Kommune. Kommuneskatten er på 25,46% og grundskyldspromillen på 28‰.",Til salg i alt: 25 dage,161 m²,Ejerudg.: 1.594 kr/md,,4 værelser,Opført 1887,1 toilet,,,7673,https://www.boligsiden.dk/addresses/0a3f50be-f823-32b8-e044-0003ba298018,Grund: 13105 m²,
"Søndre Badevej 6E, 2. 6.,4600",3.445.000 kr.,Sct. Nicolai Skole,"1,15 km",7.5,3.9,Ejerlejlighed,Energimærke A2015,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 25 dage,77 m²,Ejerudg.: 3.264 kr/md,Elevator: Nej,2 værelser,Opført 2020,1 toilet,Altan: Nej,Terrasse: Nej,4600,https://www.boligsiden.dk/addresses/6e2aaf90-ba96-4b14-80b2-a78bc6a03eb7,,
"Vassingerødvej 79,3540",2.500.000 kr.,Lynge Skole,"2,08 km",7.7,3.8,Villa,Energimærke E,Høj,"25,3%","23,8‰.","Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",Til salg i alt: 25 dage,95 m²,Ejerudg.: 3.552 kr/md,,3 værelser,Opført 1958,1 toilet,,,3540,https://www.boligsiden.dk/addresses/0a3f50a7-d6ea-32b8-e044-0003ba298018,Grund: 1649 m²,
"Ved Kæret 6,8305",2.375.000 kr.,Samsø Skole,"14,83 km",6.7,3.6,Villa/Fritidsbolig,Energimærke F,Høj,"25,9%","30,75‰.","Der er 3.716 indbyggere i Samsø Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 30,75‰.",Til salg i alt: 25 dage,112 m²,Ejerudg.: 2.314 kr/md,,5 værelser,Opført 1800,1 toilet,,,8305,https://www.boligsiden.dk/addresses/0a3f50c1-b0b5-32b8-e044-0003ba298018,Grund: 594 m²,
"Stengårds Alle 8, 1. l.,2800",2.995.000 kr.,Engelsborgskolen,481 m,8.5,3.8,Ejerlejlighed,Energimærke C,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 312 dage,71 m²,Ejerudg.: 3.346 kr/md,Elevator: Nej,3 værelser,Opført 2001,1 toilet,Altan: Nej,Terrasse: Nej,2800,https://www.boligsiden.dk/addresses/0f0b1f3f-0dfc-73d9-e044-0003ba298018,,
"Peter Bangs Vej 243,2500",7.995.000 kr.,Ålholm Skole,897 m,6.6,3.7,Villa,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 25 dage,172 m²,Ejerudg.: 6.244 kr/md,,5 værelser,Opført 1930,2 toiletter,,,2500,https://www.boligsiden.dk/addresses/0a3f50a0-1f10-32b8-e044-0003ba298018,Grund: 626 m²,
"Lysenvej 27,7870",1.995.000 kr.,Roslev Skole,"6,42 km",6.5,3.6,Landejendom,Energimærke B,Lav,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 812 dage,292 m²,Ejerudg.: 2.656 kr/md,,7 værelser,Opført 1910,2 toiletter,,,7870,https://www.boligsiden.dk/addresses/0a3f50c5-7de2-32b8-e044-0003ba298018,Grund: 40000 m²,
"Stjernevej 15, 1. th.,7100",1.295.000 kr.,Petersmindeskolen,193 m,7.1,3.8,Ejerlejlighed,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 25 dage,80 m²,Ejerudg.: 2.723 kr/md,Elevator: Nej,3 værelser,Opført 1969,1 toilet,Altan: Nej,Terrasse: Nej,7100,https://www.boligsiden.dk/addresses/0a3f50bc-f913-32b8-e044-0003ba298018,,
"Strandvejen 655,2930",12.995.000 kr.,Trongårdsskolen,"4,07 km",8,3.8,Villa,Energimærke D,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 25 dage,132 m²,Ejerudg.: 6.250 kr/md,,5 værelser,Opført 1992,1 toilet,,,2930,https://www.boligsiden.dk/addresses/0a3f50a6-7845-32b8-e044-0003ba298018,Grund: 305 m²,
"Blåvandvej 33D,6857",6.295.000 kr.,Blåvandshuk Skole,"11,88 km",6.7,3.7,Villa/Fritidsbolig,Energimærke B,Meget lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 25 dage,198 m²,Ejerudg.: 2.412 kr/md,,7 værelser,Opført 1960,2 toiletter,,,6857,https://www.boligsiden.dk/addresses/0a3f50b8-8372-32b8-e044-0003ba298018,Grund: 737 m²,
