,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Søbjergvej 18,9550",2.250.000 kr.,Hobro Søndre Skole og MF10,"7,5 km",7,3.7,Villa,Energimærke D,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 256 dage,103 m²,Grund: 2326 m²,Ejerudg.: 1.518 kr/md,3 værelser,Opført 1958,2 toiletter,9550,https://www.boligsiden.dk/addresses/0a3f50c0-54c9-32b8-e044-0003ba298018,,,,
"Havnegade 17C, 1.,3600",2.495.000 kr.,Trekløverskolen,793 m,6.8,3.7,Ejerlejlighed,Energimærke E,Høj,"25,8%","32,5‰.","Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",Til salg i alt: 216 dage,116 m²,,Ejerudg.: 4.697 kr/md,4 værelser,Opført 1874,1 toilet,3600,https://www.boligsiden.dk/addresses/0a3f50a8-55b7-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Brombærvej 26,4654",2.795.000 kr.,"Ny-Øst, Hylleholt Skole",578 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Meget høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 64 dage,171 m²,Grund: 976 m²,Ejerudg.: 2.092 kr/md,5 værelser,Opført 2007,2 toiletter,4654,https://www.boligsiden.dk/addresses/374230b7-169a-51c5-e044-0003ba298018,,,,
"Roskildevej 360, 2. th.,2630",1.995.000 kr.,Borgerskolen,"1,58 km",6.6,3.7,Ejerlejlighed,Energimærke D,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 288 dage,74 m²,,Ejerudg.: 3.745 kr/md,3 værelser,Opført 1956,1 toilet,2630,https://www.boligsiden.dk/addresses/0a3f50a5-da48-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Stationsvej 24,7700",945.000 kr.,Nors Skole,352 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 336 dage,150 m²,Grund: 772 m²,Ejerudg.: 1.442 kr/md,4 værelser,Opført 1975,2 toiletter,7700,https://www.boligsiden.dk/addresses/0a3f50c6-2f41-32b8-e044-0003ba298018,,,,
"Svejgårdsvej 20, 1.,2900",9.995.000 kr.,Tranegårdskolen,808 m,8.6,3.8,Villalejlighed,Energimærke C,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 275 dage,125 m²,Grund: 809 m²,Ejerudg.: 5.873 kr/md,4 værelser,Opført 1914,1 toilet,2900,https://www.boligsiden.dk/addresses/0a3f50a4-1320-32b8-e044-0003ba298018,,,,
"Enghegnet 21,8500",1.045.000 kr.,Søren Kanne-Skolen,356 m,6.5,3.6,Villa,Energimærke D,Mellem,26%,34‰.,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,Til salg i alt: 64 dage,140 m²,Grund: 700 m²,Ejerudg.: 1.569 kr/md,5 værelser,Opført 1966,2 toiletter,8500,https://www.boligsiden.dk/addresses/0a3f50bf-c830-32b8-e044-0003ba298018,,,,
"Petersborgvej 13,3400",8.500.000 kr.,Frederiksborg Byskole,580 m,7.9,3.7,Villa,Energimærke E,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 64 dage,390 m²,Grund: 1602 m²,Ejerudg.: 7.539 kr/md,14 værelser,Opført 1805,3 toiletter,3400,https://www.boligsiden.dk/addresses/0a3f50a9-ca35-32b8-e044-0003ba298018,,,,
"Buskmosevej 21,6300",795.000 kr.,Gråsten Skole,"2,75 km",7.2,3.7,Villa,Energimærke C,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 64 dage,133 m²,Grund: 686 m²,Ejerudg.: 1.158 kr/md,5 værelser,Opført 1931,1 toilet,6300,https://www.boligsiden.dk/addresses/0a3f50b6-94f4-32b8-e044-0003ba298018,,,,
"Holevej 6,9640",1.495.000 kr.,Farsø Skole,"11,11 km",6.9,3.7,Villa,Energimærke C,Mellem,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 64 dage,222 m²,Grund: 981 m²,Ejerudg.: 1.459 kr/md,6 værelser,Opført 1966,2 toiletter,9640,https://www.boligsiden.dk/addresses/0a3f50c7-2718-32b8-e044-0003ba298018,,,,
