,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Frederiksgade 33A, 1. 1.,8700",1.675.000 kr.,Learnmark 10,345 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 42 dage,97 m²,Ejerudg.: 2.897 kr/md,Elevator: Nej,4 værelser,Opført 2009,1 toilet,Altan: Nej,Terrasse: Nej,8700,https://www.boligsiden.dk/addresses/1f7a7527-97da-403c-e044-0003ba298018,,
"Viemosevej 18,4913",750.000 kr.,Stormarkskolen,"11,56 km",6.1,3.7,Villa,Energimærke D,Meget høj,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 42 dage,133 m²,Ejerudg.: 1.117 kr/md,,4 værelser,Opført 1900,1 toilet,,,4913,https://www.boligsiden.dk/addresses/0a3f50b1-03fb-32b8-e044-0003ba298018,Grund: 2319 m²,
"Kliplev Toftevej 4,6200",995.000 kr.,Stubbæk Skole,"6,72 km",7.4,3.8,Villa,Energimærke F,Mellem,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 42 dage,155 m²,Ejerudg.: 1.460 kr/md,,5 værelser,Opført 1969,2 toiletter,,,6200,https://www.boligsiden.dk/addresses/0a3f50b6-fd7b-32b8-e044-0003ba298018,Grund: 1106 m²,
"Struebjerg 16,5700",2.195.000 kr.,Vestre Skole,942 m,5.9,3.7,Villa,Energimærke F,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 42 dage,89 m²,Ejerudg.: 1.652 kr/md,,3 værelser,Opført 1955,1 toilet,,,5700,https://www.boligsiden.dk/addresses/0a3f50b5-a50c-32b8-e044-0003ba298018,Grund: 774 m²,
"Teglgårdsvej 405, 1. tv.,3050",1.250.000 kr.,Humlebæk Skole,659 m,7.8,3.8,Ejerlejlighed,Energimærke D,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 42 dage,68 m²,Ejerudg.: 3.602 kr/md,Elevator: Nej,2 værelser,Opført 1968,1 toilet,Altan: Nej,Terrasse: Nej,3050,https://www.boligsiden.dk/addresses/0a3f50a8-4248-32b8-e044-0003ba298018,,
"Ribe Landevej 128,7100",1.895.000 kr.,"Vejle Midtbyskole, afdeling Damhaven",985 m,6,3.6,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 42 dage,112 m²,Ejerudg.: 2.886 kr/md,,3 værelser,Opført 1927,1 toilet,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-ea55-32b8-e044-0003ba298018,Grund: 835 m²,
"Husbyvej 242,9690",1.150.000 kr.,Fjerritslev Skole,"5,14 km",6.4,3.6,Landejendom,Energimærke D,Lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 42 dage,139 m²,Ejerudg.: 1.275 kr/md,,5 værelser,Opført 1954,1 toilet,,,9690,https://www.boligsiden.dk/addresses/0a3f50c7-3de2-32b8-e044-0003ba298018,Grund: 15000 m²,
"Agersbækvej 8,6950",1.895.000 kr.,Hee Skole,638 m,Ikke oplyst,Ikke oplyst,Landejendom/Landejendom,Energimærke C,Meget lav,25%,31‰.,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,Til salg i alt: 42 dage,136 m²,Ejerudg.: 2.067 kr/md,,5 værelser,Opført 1900,2 toiletter,,,6950,https://www.boligsiden.dk/addresses/0a3f50be-8c47-32b8-e044-0003ba298018,Grund: 47161 m²,
"Stengadevej 28,5953",1.195.000 kr.,Ørstedskolen,"7,43 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke E,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 42 dage,134 m²,Ejerudg.: 1.059 kr/md,,4 værelser,Opført 1935,1 toilet,,,5953,https://www.boligsiden.dk/addresses/0a3f50b5-f31e-32b8-e044-0003ba298018,Grund: 1910 m²,
"Bodumvej 3,6230",7.250.000 kr.,Høje Kolstrup Skole,"3,26 km",6.7,3.7,Landejendom,Energimærke G,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 42 dage,227 m²,Ejerudg.: 1.981 kr/md,,5 værelser,Opført 1928,2 toiletter,,,6230,https://www.boligsiden.dk/addresses/0a3f50b7-5186-32b8-e044-0003ba298018,Grund: 581238 m²,
"Muldbjergvej 2,4733",1.995.000 kr.,"Fladsåskolen, afd. Korskilde","2,83 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 42 dage,252 m²,Ejerudg.: 1.612 kr/md,,6 værelser,Opført 1780,3 toiletter,,,4733,https://www.boligsiden.dk/addresses/0a3f50af-8e86-32b8-e044-0003ba298018,Grund: 1275 m²,
